id,date,author,quote
1,2018-08-13,Serge,"""THAT WAS MY FIRST FALL!"""
2,2018-08-13,Serge,"""I keep stepping on teeth."""
3,2018-08-15,Serge,"""The answer is 13! 13 is the... NO. NO! NOOOO..."""
4,2018-08-17,Serge,"""The one hole makes me so nervous."""
5,2018-08-17,Serge,"""I heard someone was wrong on your channel, Serge."""
6,2018-08-17,Serge,"""'Sadness' because it is forced to live 60 blocks below the surface... eeee."""
7,2018-08-20,Serge,"""How much death has Jo caused?"""
8,2018-08-22,Serge,"""Squid farm is back on the menu."""
9,2018-08-22,Serge,"""That's why they call me Serge 'Instantmininglover' Yager."""
10,2018-08-22,Serge,"""Well when you say it like that I sound like a monster."""
11,2018-08-23,Serge,"""I hate how stunning this looks."""
14,2018-08-28,Serge,"""The Builder's Wand MIGHT be really amazing. Might. Be. Maybe. Really cool. Maybe."""
15,2018-08-28,Serge,"""'Living rock brick slabs' was a sentence that was just uttered."""
16,2018-08-30,Serge,"""Where are you going, Chicken Lord James?"""
17,2018-08-29,Serge,"""Who are we to argue with the cats? And by the cats, I mean the mods."""
18,2018-09-05,Serge,"""Sass as a service? Kind of hate it."""
19,2018-09-05,Serge,"""I'm so proud of me."""
20,2018-09-05,Serge,"""At the end of the day, whatever my mods want."""
21,2018-09-05,Serge,"""Uno will FOREVER be a Buttermod."""
22,2018-09-05,Serge,"""Mods don't get pants."""
23,2018-09-06,Serge,"""It's the new hotness."""
24,2018-09-06,Serge,"""Hello everybody, welcome to the giant new Sadness Orb, complete with bleating sheep."""
25,2018-09-06,Serge,"""There's too much teeth."""
26,2018-09-10,Serge,"""Coffee has enemies."""
28,2018-09-10,Serge,"""Back to the sheep mines! ...is a sentence I just said."""
29,2018-09-10,Serge,"""Sheep are transparent."""
30,2018-09-11,Serge,"""Just look at our happy little tree friend! Uh-oh. That was a little TOO Bob Ross..."""
31,2018-09-11,Serge,"""Oh a drowned! Hello little buddy; goodbye little buddy."""
32,2018-09-11,Serge,"""I'm regular mining, like a peasant!"""
33,2018-09-11,Serge,"""I just slept so I shouldn't die."""
34,2018-09-11,Serge,"""Oh the SEA. Why can't I quit you?"""
35,2018-09-12,Serge,"""Look no further than our one-of-a-kind water features, of which we have two."""
36,2018-09-12,Serge,"""Our sheep need to know they're VIPs when they get here."""
37,2018-09-12,"Serge, wrecking all our dreams","""We don't need to line the entire tunnel with CAKE!"""
38,2018-09-12,Serge,"""Do you wish your LEGO toy could fight you? Boy, do I have a game for you!"""
39,2018-09-12,Serge,"""If it doesn't look good what's the point?"""
40,2018-09-13,Serge,"""Quad chicken? No."""
41,2018-09-14,Serge,"""Mine looks like a super weiner."""
42,2018-09-14,Serge,"""It's better this way. Go Ben. Go to the light."""
43,2018-09-17,Serge,"""I do love flooding... steps."""
44,2018-09-17,Serge,"""Classic chat, blaming me for my own mistakes."""
45,2018-09-17,Serge,"""I'm nailing these jumps like some kind of pro, now."""
46,2018-09-18,Serge,"""OH NO. Instant mining, WHY!?"""
47,2018-09-18,Serge,"""Nothing fills me with more joy than slabbing the Nether."""
48,2018-09-18,Serge,"""I find myself, for the second time, wishing I had a Builder's Wand. Shhh! Nobody tell Serifina..."""
49,2018-09-18,Serge,"""Look at my precious, little, stubby son."""
50,2018-09-18,Serge,"""All is well!"""
51,2018-09-18,Serge,"""That's a death trap, I love it!"""
52,2018-09-18,Serge,"""Ah! I'm in the fire! I fell in the fire!"""
53,2018-09-18,Serge,"""I am The Squeaksman."""
