id,date,author,quote
1,2023-05-12,Avi,"Hacker Voice We're in"
2,2023-05-12,Anime Kitty,"Party like a Rockstar"
3,2023-05-12,Avi,"That seems like a problem for future Serge"
4,2023-05-12,Kitteh,"I don't do math before 11am"
5,2023-05-12,Avi,"Perfectly ordinary human noises"
6,2023-05-12,Avi,"In Canada, we use the metric year."
7,2023-05-12,Inferno390,"Go with me on this journey chat..."
8,2023-05-12,Sonoroho,"It's time to get distracted."
9,2023-05-12,JamesTheDabbler,"First of all, how dare you!"
10,2023-05-12,JamesTheDabbler,"It's off by some uncountable number."
11,2023-05-12,Sonoroho,"I have never been off by one in my life."
12,2023-05-12,Before_Damage,"It does what!? That can't be right."
13,2023-05-12,Alma,"a bad word, like ""butts""."
15,2023-05-13,Sonoroho,"Butts! Ten Thousand Butts!"
16,2023-05-13,Kitteh,"So, go with me on this journey."
17,2023-05-15,Before_Damage,"Muffin, absolutely muffin."
18,2023-05-16,Kitteh,"I was confused and now I'm blushing."
19,2023-05-17,Inferno390,"Ah yes, running away. The better part of valor."
20,2023-05-20,Kitteh,"Reading the card explains the card."
21,2023-05-20,Kitteh,"25 months, that's the quarter year!"
22,2023-06-13,Avi,"Help, I'm being bullied by my mods!"
23,2023-06-13,Avi,"Let's raid...my boss!"
24,2023-06-28,Kitteh,"Why is chat always right?"
25,2025-11-02,ArtemisHuntress,"I am so in love right now!"
26,2025-11-02,JamesTheDabbler,"I can't read."
27,2025-11-02,Jo,"Orb!"
28,2025-11-02,Gadora,"Chilling; partying like a rockstar."
29,2025-11-13,"Kitteh (from Anno 117 stream)","It's time for our water fortress to get angry!"
30,2025-11-03,BadPandaBear,"DM, I do that."
31,2025-11-08,ArtemisHuntress,"if that even is your real name"
32,2025-11-09,ArtemisHuntress,"You absolute melon"
33,2025-11-10,JamesTheDabbler,"There's so much game in this game!"
