id,date,author,quote
1115,2015-11-16,"Serge","""I should've known this mess was from Turner."""
1116,2015-11-16,"Serge","""Where did all this hair come from?!"""
2028,2016-03-04,"Serge","""How many 5-drops is too many in draft?"""
2034,2016-03-04,"Serge","""I take three, taking me to... three less."""
2038,2016-03-04,"Serge","""I am ALL of the lies."""
2039,no date,"Serge","""YOU'RE a lot of mana."""
2041,2016-03-04,"Serge","""Nine is a lot of things."""
2163,2016-03-25,"Serge","""Dix, they think you're an old man."""
2164,2016-03-25,"Serge","""Radiation for everyone!"""
2560,2016-05-18,"Serge","""I don't know how to punch people. All I know how to do is climb."""
2760,2016-06-10,"Serge","""Slow Plains warning."""
2871,2016-06-24,"Serge, to James","""You punch harder than I do!"""
2872,2016-06-24,"Serge","""I almost won by cheating."""
3310,2016-08-26,"Serge","""What am I doing in real life?"""
3459,2016-09-30,"Serge","""Parts of me are trying to escape."""
3879,2017-01-20,"Serge","""Don't worry, we're not live yet"""
3959,2017-02-08,"Serge","""I still think it's worth the practise. Is that worth a bunch of points?"""
3985,2017-02-10,"Serge","""My power is friendship!"""
4126,2017-03-24,"Serge","""I'm worried about you stealing my junk"""
4135,2017-03-31,"Serge","""You fell for my trap card: actual good cards."""
4162,2017-04-21,"Serge","""I'm just here to make friends."""
4173,2017-04-29,"Serge","""I got chat in my head."""
4213,2017-05-22,"Serge","""Coffee and cannons, what could possibly go wrong?"""
4216,2017-05-22,"Serge","""Find somebody to look at you the way Serge looks at coffee."""
4222,2017-05-26,"Serge","""I'm gonna draft this card just so I don't have to make judge calls on it."""
4240,2017-05-31,"Serge","""Stop shooting me! Can't we just be friends?"""
4243,2017-05-31,"Serge","""I brought a gun to a crossbow fight!"""
4311,2017-07-21,"Serge","""If I do a sheep I screw myself."""
4319,2017-07-27,"Serge","""Sign my name on a bullet and send it to them."""
4323,2017-07-27,"Serge","""That's a bug? I thought it just sucked."""
4324,2017-07-27,"Serge","""My name is James and I hate beautiful things."""
4325,2017-07-27,"Serge","""How many times do I need to punch a boy in the head before he explodes?"""
4326,2017-07-27,"Serge","""Goodbye, James. You weren't even worth the bullets they put in you."""
4455,2017-11-03,"Serge","""I'm full of lies, full disclosure."""
4483,2017-11-10,"Serge","""Magic has a lot of cards and smells."""
4539,2017-12-08,"Serge","""Is a house a tree?"""
4551,2017-12-16,"Serge","""They're good dogs, Booj."""
4666,2018-02-09,"Serge","""Ah, Chat remembered my face."""
4718,2018-03-03,"Serge","""As god intended, with our rocket fists!"""
4721,2018-03-03,"Serge","""The score is 1-1, with two goals for Serge."""
4722,2018-03-03,"Serge","""We will rock you like a dolphin hurricane."""
4724,2018-03-03,"Serge","""I accidentally milked a cow instead of lighting it on fire!"""
4727,2018-03-03,"Serge","""I don't know what happened there but somebody experienced somebody."""
4801,2018-03-16,"Serge","""I won the mulligan thingy!"""
4903,2018-04-20,"Serge","""I disrespected Yargle once...ONCE."""
4932,2018-04-28,"Serge","""I'm a team player. I will NOT hurt my friends."""
4967,2018-05-09,"Serge","""Would anybody like to affect my water?"""
4977,2018-05-14,"Serge, as Malfeasance","""I can't think of anyone else who would have a chance of bangin'"""
4979,2018-05-14,"Serge","""We're gonna get wiped by a trash panda."""
4989,2018-05-18,"Serge","""You're not a dream. You don't know me."""
5114,2018-06-27,"Serge","""Then you tell me where my pants are, James!"""
5160,2018-07-11,"Serge","""Can you put carpet on the celling?"""
5185,2018-07-17,"Serge","""I'm gonna go play with cows in the sky."""
5202,2018-07-24,"Serge","""Beware for I am Mecha Serge, destroyer of worlds!"""
5271,2018-08-21,"Serge","""Yes! we have cows."""
5276,2018-08-21,"Serge","""Screw you, aesthetically-ambiguous staircase!"""
5283,2018-08-24,"Serge","""You have no idea how much this hurts me, Chat. I'll take one."""
5312,2018-09-11,"Serge","""I would never weaponize Chat!"""
5313,2018-09-11,"Serge","""Somebody's shooting at me! Perfect!"""
5321,2018-09-19,"Serge","""Ooh! We get to fix a thing!"""
5322,2018-09-19,"Serge","""You can't just say ""Judge!"" and not mean it."""
5330,2018-09-25,"Serge","""Come see our one of a kind water feature, of which we have two."""
5344,2018-09-29,"Serge","""It's not moving, therefore it's an enemy."""
5351,2018-10-02,"Serge","""I don't think I need to farm pandas."""
5353,2018-10-02,"Serge","""At least we obfuscate the horror."""
5368,2018-10-05,"Serge","""This game has taken everything from me!"""
5369,2018-10-05,"Serge","""At least I'm consistent."""
5374,2018-10-06,"Serge","""The best way to add a flavour to anything is just to burn it."""
5381,2018-10-09,"Serge","""Please stop moving so I can click on your head!"""
5401,2018-10-16,"Serge","""We should just throw diamonds at each other to flaunt our wealth."""
5431,2018-10-23,"Serge","""Your meat juice is everywhere James!"""
5468,2018-10-31,"Serge","""Please critique my dab."""
5477,2018-11-02,"Serge","""It's a power move to show up at a commander game with ten Sol Rings on all of your fingers."""
5504,2018-11-11,"Serge","""As long as Chat can see out of it, it's a fort. If they can't see out of it, it's a tomb."""
5533,2018-11-15,"Serge","""The best thing I could do is wrap Waluigi around my face."""
5540,2018-11-20,"Serge","""There's documentation on the style guide, it's called looking down!"""
5559,2018-12-04,"Serge","""It seems to be a weird and dangerous tradition."""
5566,2018-12-10,"Serge","""For now, the sheep are my friends."""
5614,2018-12-17,"Serge","""My wood was great!"""
5689,2019-01-07,"Serge","""I become the sausage dog."""
5695,2019-01-08,"Serge","""That depends on your definition of crime."""
5696,2019-01-08,"Serge, on sheep","""Look at this art."""
5784,2019-02-02,"Serge","""I love all coffee."""
5786,2019-02-04,"Serge","""What could go wrong?"""
5793,2019-02-05,"Serge","""Lets use some stones to describe our words."""
5810,2019-02-11,"Serge","""Let's go to a dream world where there's no snow."""
5812,2019-02-11,"Serge, as Molander","""Everyone keeps saying I have boundary issues, and I don't get that because I don't have boundaries so where are the issues?!"""
5814,2019-02-11,"Serge, as Molander","""Be you, be free! Express yourself."""
5823,2019-02-13,"Serge","""Please keep a respectful distance so I can charge you!"""
5828,2019-02-15,"Serge","""Its ears aren't pointy and it's riding a spider, that says ""human"" to me."""
5829,2019-02-15,"Serge","""I looked at those ears and ruled them to be 'not pointy.'"""
5832,2019-02-18,"Serge, as Molander","""I've heard if you die in a disguise, you also die in real life."""
5834,2019-02-19,"Serge","""Am I the only one who's pants explode in the Nether?"""
5836,2019-02-19,"Serge","""I know this is on me, and I'm trying to blame James."""
5858,2019-03-04,"Serge","""Please don't milk the krasis."""
5887,2019-03-12,"Serge","""OH THAT'S BAD!"""
5910,2019-03-16,"Serge","""How much can an egg weigh? Like, four balloons?"""
5919,2019-03-16,"Serge","""I was distracted by my egg child."""
5923,2019-03-18,"Serge","""Maybe the NPC can save us!"""
5924,2019-03-18,"Serge, as Molander","""I tend to not want to blame...people? For things?"""
5944,2019-03-26,"Serge","""If there's one thing James has a lot of it's face."""
5960,2019-04-02,"Serge","""the two ingredients of a milkshake are not milk and shake."""
5976,2019-04-09,"Serge, Menacingly","""No one teases Yager."""
5987,2019-04-13,"Serge","""Chat's telling me about averages, like I know how to do math."""
5989,2019-04-13,"Serge","""That's where I like to keep my iron, chat: in the wall, where it's safe."""
5992,2019-04-13,"Serge","""I'm being betrayed by my slime babies!"""
6009,2019-04-23,"Serge","""Ooh this is spoopy, what are you?"""
6026,2019-04-30,"Serge","""If there's one thing I know about James: it's that he can't do it, and he's certainly not a big boy."""
6035,2019-05-10,"Serge","""Why would I play Kitchen Finks in a deck where it's legal?"""
6048,2019-05-13,"Serge","""He opens up my heart through the world of gambling. I'm in."""
6053,2019-05-14,"Serge","""That was your first mistake James, trusting Uno."""
6057,2019-05-21,"Serge","""With authority you have to yeet a diamond."""
6058,2019-05-21,"Serge","""I'm so happy clap clap clap golf clap."""
6068,2019-05-27,"Serge, as Sword","""We just have to outsmart the sun."""
6074,2019-05-28,"Serge","""The pigs are now hostile."""
6075,2019-05-28,"Serge","""You didn't trust me with your blood so you took it away from me."""
6099,2019-06-09,"Serge","""Damn millennials, releasing dragons upon the world!"""
6160,2019-06-22,"Serge","""Maybe I can befriend the ooze. Does the ooze have any sense of justice?"""
6165,2019-06-22,"Serge","""What are you gonna do with a bucket of minotaur?!"""
6205,2019-07-09,"Serge","""James just can't go a stream without dying eh?"""
6217,2019-07-16,"Serge","""Help, there's a giant taint seed in the magic area."""
6246,2019-07-29,"Serge","""I lift curses through clapping!"""
6290,2019-08-06,"Serge, on dealing with being on fire","""You're fine, just believe and eat."""
6317,2019-08-13,"Serge","""James and Serge: two friends with no pants, on an adventure!"""
6321,2019-08-14,"Serge","""We have Chat, we don't need an app."""
6327,2019-08-14,"Serge","""Oh my meow."""
6332,2019-08-16,"Serge","""Alright, this got weird. Perfect."""
6333,2019-08-16,"Serge","""Did you touch the ceremonial Vaseline?"""
6343,2019-08-20,"Serge","""Reminder: Don't fall to your death."""
6346,2019-08-20,"Serge","""Oh, My, God this sucks......MY BUTT!"""
6347,2019-08-20,"Serge","""You think I was saying 'help' for fun?"""
6374,2019-09-10,"Serge","""Subway: Blaze fresh."""
6375,2019-09-10,"Serge","""Oh, I can find a coffee worth your life, James."""
6382,2019-09-11,"Serge","""Yay, I'm evil!"""
6388,2019-09-13,"Serge","""Thinking is hard, okay? When was the last time you had to think about anything?"""
6401,2019-09-17,"Serge","""I don't care about the sunk cost fallacy."""
6405,2019-09-17,"Serge","""As we say in Canada: E zed, P Zed."""
6456,2019-10-08,"Serge","""No more stuff, only games."""
6460,2019-10-08,"Serge","""Well last time i checked minecraft 1.5, peeing didn't cause mobs to spawn!"""
6479,2019-10-12,"Serge","""Fear me, for I shall clean all of you!"""
6480,2019-10-12,"Serge","""Now chat's all 'TEETH' and honking. What have I done?"""
6481,2019-10-12,"Serge","""It's like yeeting, but for profit!"""
6495,2019-10-15,"Serge","""If it ain't wool, don't get greedy."""
6496,2019-10-15,"Serge","""You left the door open and let the fire zombies in! You absolute melon!"""
6497,2019-10-15,"Serge","""Believe in the me that believes in me."""
6500,2019-10-19,"Serge","""I never want people to be unhappy. Have you met me?"""
6505,2019-10-22,"Serge, to James","""I'll be the judge of whether or not you're an idiot."""
6506,2019-10-22,"Serge","""We're not cheating a cow this far forward."""
6507,2019-10-22,"Serge","""How many times can we count James' hubris?"""
6508,2019-10-22,"Serge","""If anything, I'm the hero that Chat deserves."""
6509,2019-10-22,"Serge","""I'd like to get out of you so I could see please."""
6517,2019-10-25,"Serge","""Who reads cards these days? It's 2019!"""
6542,2019-11-07,"Serge","""It's good words!"""
6543,no date,"Serge","""They have a plan and I have boundless energy so let's do this."""
6573,2019-11-14,"Serge","""Botanically, bananas are a baby."""
6580,2019-11-19,"Serge","""James, everything about you makes me stressed."""
6605,2019-12-09,"Serge, as Sebastian","""I don't want to sound like I'm vindictive, because I'm VERY vindictive..."""
6607,2019-12-09,"Serge","""I open my inner Kevin eyes."""
6610,2019-12-10,"Serge","""If you don't rhyme on your Mic check, people can't hear you."""
6632,2019-12-17,"Serge","""Do you remember all the pain I've experienced?"""
6669,2019-12-31,"Serge","""I am super on fire right now and I don't appreciate it."""
6671,2020-01-01,"Serge","""Are you a dru-id or a dru-idn't?"""
6672,2020-01-01,"Serge","""Flex on us, birthday boy!"""
6677,2020-01-06,"Serge","""I have a list of all of Chat's weaknesses."""
6681,2020-01-07,"Serge","""I'm always partying like a rock star, that's my secret James."""
6682,2020-01-07,"Serge","""Why don't baby zombies catch fire in the sun?"""
6702,2020-01-14,"Serge","""You don't want sweaty books."""
6739,2020-01-29,"Serge","""Name a better pairing than Serge and hubris."""
6747,2020-02-04,"Serge","""I trust you the least saying that Uno."""
6756,2020-02-10,"Serge","""You can't ask for my help then use my help, that's not how help works."""
6771,2020-02-18,"Serge","""Bigger is better until it's too big."""
6774,2020-02-19,"Serge","""I don't see you flexing, so get shopping!"""
6785,2020-02-25,"Serge","""You're gonna have to be more specific, we have a lot of dumb ideas."""
6790,2020-02-28,"Serge","""I hate the universe and all of its messages!"""
6827,2020-03-17,"Serge, to James","""The first thing you need to do is stop being bad."""
6828,2020-03-17,"Serge","""You wasted 12 minutes of three people's lives, that's closer to 40 minutes!"""
6839,2020-03-24,"Serge","""I manage to punch through glass with a sleeping bag."""
6840,2020-03-24,"Serge","""I say we embrace the sun."""
6857,2020-03-28,"Serge","""I love Chat but I don't trust them!"""
6868,2020-03-31,"Serge","""Minecraft isn't a game about stuff."""
6874,2020-04-03,"Serge","""Second order of business, I have to figure out what to do with my life."""
6879,2020-04-06,"Serge, as Trilby","""It doesn't matter what you do, just as long as people think you're cool."""
6880,2020-04-06,"Serge, as Trilby","""We'll be all square! Except cooler than square. We'll be round."""
6911,2020-04-21,"Serge","""I like to think of sponging as Minecraft golf."""
6927,2020-05-04,"Serge","""You are a slippery pig, congratulations!"""
6936,2020-05-06,"Serge","""This is me vs me. Either way I lose."""
6947,2020-05-12,"Serge, of chat","""Ignore them, they're wrong."""
